id,brand,car_model,type,desc,problem,datetime,status
514775,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾加速时异响4S店不处理,"B33,",2020-08-27,信息审核
514773,陆风汽车,陆风X5,2018款 1.5T 手动 创享版 Plus,陆风X5车身整体生锈存在质量问题,"H79,",2020-08-27,信息审核
514765,华晨宝马,宝马1系,2018款 改款 118i 运动型,华晨宝马1系座椅调节故障希望质保维修,"H169,",2020-08-27,信息审核
514764,东南汽车,翼神,2011款 1.8 手动 致尚版豪华型,东南三菱翼神无法换挡4S店拖延不处理,"I295,N318,",2020-08-27,信息审核
514763,东风风行,菱智,2017款 1.5L 豪华型 7座 V3,东风风行菱智方向机漏油 售后无零件,"D58,N318,",2020-08-27,处理反馈
514762,众泰汽车,众泰Z700,2016款 1.8T 手动 豪华型,众泰Z700发动机车轮异响厂家无人处理,"A9,G125,",2020-08-27,信息审核
514756,一汽-大众,速腾,2017款 230TSI 自动 舒适型,一汽大众速腾行驶过程中变速箱有异响,"B33,",2020-08-27,信息审核
514753,华晨中华,中华V7,2018款 280T DCT 尊贵型 5座,华晨中华V7天窗漏水 顶棚脱落 售后无配件,"H179,N318,",2020-08-27,信息审核
514751,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商销售旧款车型不解决,"I295,I293,M280,",2020-08-27,厂家受理
514749,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客高速行驶过程中动力消失,"B334,",2020-08-27,信息审核
514743,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法提速动力消失,"B334,B84,",2020-08-27,信息审核
514736,吉利汽车,吉利icon,2020款 300T DCT 银河限量版,吉利icon售后维修导致线束损坏希望厂家处理,"J299,J304,",2020-08-27,信息审核
514728,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德发动机抖动熄火 座椅生锈,"A24,A163,A14,A35,H79,H164,",2020-08-27,厂家受理
514725,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8发动机失缸 大灯转向盲区大,"A24,H71,",2020-08-27,信息审核
514722,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe前大灯进水厂家不予解决,"H88,",2020-08-27,处理反馈
